"P1","P2","P3","Dstatistic","Z.score","p.value","f4.ratio","BBAA","ABBA","BABA","sharedLoci","domPattern"
"tomentosa","alba","euphratica",0.0540864,3.33524,0.000852249,0.0675931,13644.1,12999.1,11665.1,38308.3,"ABBA"
"alba","trichocarpa","euphratica",0.0588006,3.61689,0.000298163,0.110775,15573,18366.8,16326.8,50266.6,"ABBA"
"alba","trichocarpa","ilicifolia",0.130519,6.13435,8.55067e-10,0.245639,15762.5,21392.2,16452.8,53607.5,"ABBA"
"tomentosa","davidiana","euphratica",0.0737698,4.46059,8.17353e-06,0.0939178,13919.4,13460.4,11610.9,38990.7,"ABBA"
"davidiana","trichocarpa","ilicifolia",0.115605,7.28215,3.28545e-13,0.221269,16365.4,21306.4,16890.6,54562.4,"ABBA"
"tomentosa","davidiana","trichocarpa",0.0744768,4.92016,8.64745e-07,0.0868789,16133.8,15094.2,13001.8,44229.8,"ABBA"
"deltoides","trichocarpa","euphratica",0.0668976,3.55092,0.000383888,0.120441,15149.2,17708.5,15487.8,48345.5,"ABBA"
"deltoides","trichocarpa","ilicifolia",0.157362,6.2846,3.28706e-10,0.272094,15448.1,20843.4,15175.4,51466.9,"ABBA"
"trichocarpa","deltoides","simonii",0.118948,5.39777,6.74744e-08,0.236742,14122,15689.8,12354,42165.8,"ABBA"
"euphratica","ilicifolia","trichocarpa",0.0834572,4.27498,1.91158e-05,0.142543,19716,18408.8,15572.8,53697.6,"ABBA"
"simonii","trichocarpa","euphratica",0.0852749,3.66299,0.000249286,0.147853,13652.5,17979.8,15154.2,46786.5,"ABBA"
"tomentosa","trichocarpa","euphratica",0.103347,4.8687,1.12333e-06,0.173459,13813.1,18010.6,14636.6,46460.3,"ABBA"
"simonii","trichocarpa","ilicifolia",0.183206,7.03532,1.98799e-12,0.304692,14149.2,21312.5,14712.5,50174.2,"ABBA"
"tomentosa","trichocarpa","ilicifolia",0.176917,7.96487,1.65395e-15,0.294673,13882.4,20915.9,14627.6,49425.9,"ABBA"
